"credit_ID","credit_history","savings","other_debtors","other_installment_plans","number_credits"
3648,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3649,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3650,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3652,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3653,"no credits taken/all credits paid back duly","... <  100 DM","guarantor","none","1"
3654,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","2-3"
3657,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3658,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3661,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3664,"no credits taken/all credits paid back duly","... >= 1000 DM","co-applicant","none","1"
3665,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3666,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3667,"delay in paying off in the past","unknown/no savings account","none","bank","2-3"
3668,"delay in paying off in the past","... <  100 DM","none","bank","1"
3670,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3672,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3673,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3674,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","2-3"
3679,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3680,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3681,"critical account/other credits elsewhere","100 <= ... <  500 DM","none","none","1"
3683,"all credits at this bank paid back duly","... >= 1000 DM","none","none","1"
3685,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3686,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3689,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3690,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3691,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3692,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3693,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3695,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3697,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3698,"all credits at this bank paid back duly","... <  100 DM","none","none","2-3"
3700,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3701,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3702,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3703,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","2-3"
3705,"all credits at this bank paid back duly","... <  100 DM","none","none","4-5"
3707,"critical account/other credits elsewhere","... >= 1000 DM","none","stores","1"
3708,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3709,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3710,"existing credits paid back duly till now","... >= 1000 DM","none","bank","2-3"
3712,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3714,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3717,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3720,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3723,"no credits taken/all credits paid back duly","... <  100 DM","co-applicant","none","1"
3724,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3725,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3726,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3727,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3728,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3729,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3730,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","4-5"
3732,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3733,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3734,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3735,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3736,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3737,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3738,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","2-3"
3739,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3740,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3741,"delay in paying off in the past","unknown/no savings account","none","none","1"
3743,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3744,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3745,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3746,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3748,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3750,"delay in paying off in the past","unknown/no savings account","none","bank","1"
3751,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","bank","2-3"
3752,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3757,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3758,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3759,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3760,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","4-5"
3761,"critical account/other credits elsewhere","... >= 1000 DM","co-applicant","none","1"
3762,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3763,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3764,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","2-3"
3765,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","45"
3767,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3769,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3771,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3772,"existing credits paid back duly till now","unknown/no savings account","none","bank","1"
3773,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3778,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3781,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3783,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3784,"no credits taken/all credits paid back duly","... >= 1000 DM","none","bank","1"
3791,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3793,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3794,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3795,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3796,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3798,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","bank","1"
3799,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3802,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3803,"all credits at this bank paid back duly","unknown/no savings account","guarantor","none","2-3"
3804,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","bank","1"
3805,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3806,"existing credits paid back duly till now","... <  100 DM","none","none","2-3"
3807,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3811,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3812,"critical account/other credits elsewhere","unknown/no savings account","none","none","1"
3813,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3815,"delay in paying off in the past","unknown/no savings account","none","none","45"
3818,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3820,"existing credits paid back duly till now","100 <= ... <  500 DM","none","none","23"
3824,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3825,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3827,"existing credits paid back duly till now","... <  100 DM","none","none","2-3"
3828,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3835,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3836,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3838,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3839,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3840,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3841,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3842,"delay in paying off in the past","... >= 1000 DM","none","bank","4-5"
3843,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3845,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3846,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3848,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3849,"existing credits paid back duly till now","500 <= ... < 1000 DM","none","none","2-3"
3850,"delay in paying off in the past","unknown/no savings account","none","none","2-3"
3852,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3855,"all credits at this bank paid back duly","unknown/no savings account","guarantor","none","2-3"
3857,"existing credits paid back duly till now","... <  100 DM","none","none","2-3"
3859,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3864,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3865,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3866,"all credits at this bank paid back duly","unknown/no savings account","none","stores","2-3"
3867,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3869,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3870,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","2-3"
3872,"existing credits paid back duly till now","... >= 1000 DM","none","none","1"
3873,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3877,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3878,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3879,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3880,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3882,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3883,"existing credits paid back duly till now","... <  100 DM","none","bank","2-3"
3884,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","none","1"
3885,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","2-3"
3886,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3888,"all credits at this bank paid back duly","unknown/no savings account","none","stores","2-3"
3889,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3890,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3891,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3893,"existing credits paid back duly till now","100 <= ... <  500 DM","none","bank","1"
3898,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","none","2-3"
3899,"all credits at this bank paid back duly","unknown/no savings account","none","bank","2-3"
3903,"existing credits paid back duly till now","... >= 1000 DM","none","none","2-3"
3906,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3907,"no credits taken/all credits paid back duly","500 <= ... < 1000 DM","none","none","1"
3910,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3912,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3913,"no credits taken/all credits paid back duly","unknown/no savings account","co-applicant","none","1"
3914,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3917,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3919,"all credits at this bank paid back duly","500 <= ... < 1000 DM","none","none","1"
3920,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3921,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3922,"existing credits paid back duly till now","... >= 1000 DM","none","none","2-3"
3923,"all credits at this bank paid back duly","unknown/no savings account","none","none","4-5"
3924,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3928,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3929,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3930,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3931,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3933,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3934,"existing credits paid back duly till now","... <  100 DM","none","none","1"
3935,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3936,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3942,"no credits taken/all credits paid back duly","... <  100 DM","none","none","1"
3943,"all credits at this bank paid back duly","unknown/no savings account","none","none","2-3"
3944,"all credits at this bank paid back duly","unknown/no savings account","guarantor","none","1"
3946,"no credits taken/all credits paid back duly","... >= 1000 DM","none","stores","1"
3949,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3950,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","2-3"
3951,"no credits taken/all credits paid back duly","100 <= ... <  500 DM","none","bank","1"
3954,"no credits taken/all credits paid back duly","unknown/no savings account","guarantor","none","1"
3955,"no credits taken/all credits paid back duly","unknown/no savings account","none","bank","1"
3957,"all credits at this bank paid back duly","unknown/no savings account","none","none","1"
3958,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3959,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3960,"all credits at this bank paid back duly","unknown/no savings account","none","none","23"
3961,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3962,"critical account/other credits elsewhere","unknown/no savings account","none","bank","1"
3963,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
3965,"no credits taken/all credits paid back duly","... >= 1000 DM","none","stores","1"
3967,"critical account/other credits elsewhere","... <  100 DM","none","stores","1"
3969,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3970,"existing credits paid back duly till now","unknown/no savings account","none","bank","2-3"
3971,"critical account/other credits elsewhere","500 <= ... < 1000 DM","none","bank","1"
3972,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3976,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3977,"all credits at this bank paid back duly","100 <= ... <  500 DM","none","none","1"
3979,"existing credits paid back duly till now","unknown/no savings account","none","none","2-3"
3982,"all credits at this bank paid back duly","... >= 1000 DM","none","none","2-3"
3983,"critical account/other credits elsewhere","unknown/no savings account","none","stores","1"
3985,"no credits taken/all credits paid back duly","... <  100 DM","none","bank","1"
3986,"existing credits paid back duly till now","unknown/no savings account","none","none","1"
3987,"no credits taken/all credits paid back duly","... >= 1000 DM","none","none","1"
3990,"existing credits paid back duly till now","unknown/no savings account","none","stores","2-3"
3991,"critical account/other credits elsewhere","unknown/no savings account","none","bank","1"
3992,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","2-3"
3996,"all credits at this bank paid back duly","unknown/no savings account","co-applicant","none","2-3"
3998,"no credits taken/all credits paid back duly","unknown/no savings account","none","none","1"
